#{"env_id": 1, "t_start": 1534924858.3933766}
r,l,t
-60.832862,100,669.510028
-97.824211,100,671.848144
-100,100,674.297578
-80.620608,100,676.800012
-100,100,679.338694
-99.975588,100,681.789013
-100,100,684.289979
-40.40143,100,686.77507
-100,100,689.263144
-100,100,691.780955
-100,100,694.26739
-100,100,696.800638
-95.309397,100,699.331942
-98.888983,100,701.801933
-100,100,704.287398
-100,100,706.789109
-95.728596,100,709.237615
-23.946996,100,711.660991
-99.477699,100,713.962998
-100,100,716.481165
-95.781388,100,718.929346
-100,100,721.384811
-99.887373,100,723.84953
-100,100,726.304744
-99.733874,100,728.738095
-93.328646,100,731.192352
-90.752537,100,733.542372
-100,100,735.98178
-100,100,738.446467
-59.954618,100,740.900884
-100,100,743.219513
-100,100,745.690488
-100,100,748.58316
-98.117678,100,751.133181
-98.226919,100,753.670896
-99.968775,100,756.23433
-100,100,758.775782
-95.270685,100,761.262527
-100,100,763.76365
-100,100,766.344038
-100,100,768.897667
-98.167271,100,771.368987
-77.047152,100,773.90072
-100,100,776.403153
-100,100,778.903774
-100,100,781.389215
-100,100,783.907861
-100,100,786.45794
-100,100,788.898106
-81.452089,100,791.384876
-100,100,793.688707
-94.790919,100,796.190323
-98.503448,100,798.554784
-98.277185,100,801.096259
-90.86703,100,803.576112
-100,100,806.015932
-98.858608,100,808.547089
-86.310361,100,811.000248
-93.595633,100,813.533355
-99.193905,100,816.051106
-100,100,818.584541
-100,100,821.155327
-99.600873,100,823.626626
-96.205381,100,826.129589
-100,100,828.546999
-100,100,831.034202
-4.677029,100,833.550025
-79.789453,100,836.067532
-82.984253,100,838.52208
-85.508166,100,840.985578
-100,100,843.341324
-98.98781,100,845.773861
-100,100,848.326702
-99.015942,100,850.827934
-97.950948,100,853.161501
-99.419686,100,855.632465
-100,100,858.065987
-8.536142,100,860.498993
-100,100,862.85394
-96.422939,100,865.339867
-10.220013,100,867.787609
-99.40156,100,870.241894
-97.123255,100,872.722253
-99.936899,100,875.047061
-99.11485,100,877.578356
-85.590085,100,880.095544
-99.396892,100,882.481055
-99.682198,100,884.981678
-92.543749,100,887.467687
-97.741386,100,889.901999
-77.206202,100,892.355707
-100,100,894.788135
-100,100,897.188523
-96.569923,100,899.658886
-99.91368,100,902.060564
-100,100,904.540638
-98.050703,100,907.041301
-91.90867,100,909.381967
-100,100,911.900262
-100,100,914.369419
-63.480952,100,916.886078
-99.590572,100,919.286254
-82.714352,100,921.850685
-100,100,924.321231
-100,100,926.776036
-97.487546,100,929.193755
-63.664569,100,931.61047
-100,100,934.111494
-100,100,936.428288
-100,100,938.815313
-99.974223,100,941.286952
-54.43461,100,943.738004
-100,100,946.138922
-44.833227,100,948.525243
-91.25836,100,950.874965
-100,100,953.161184
-93.08327,100,955.600188
-96.825972,100,957.917451
-100,100,960.28281
-27.667555,100,962.807408
-100,100,965.273276
-83.746064,100,967.813177
-100,100,970.262686
-99.761814,100,972.681396
-98.730097,100,975.197932
-94.096941,100,977.73778
-100,100,980.23916
-100,100,982.756781
-99.99709,100,985.244004
-100,100,987.708956
-100,100,990.148062
-93.282434,100,992.665442
-91.992984,100,995.722029
-91.85796,100,998.256059
-99.654229,100,1000.812569
-100,100,1003.347089
-79.995946,100,1005.896904
-100,100,1008.450406
-89.749302,100,1010.998334
-78.210239,100,1013.551988
-100,100,1016.122224
-100,100,1018.687152
-78.939138,100,1021.273927
-70.692941,100,1023.645246
-98.905774,100,1026.13079
-54.530827,100,1028.634145
-76.958834,100,1031.152377
-99.983772,100,1033.639313
-99.470877,100,1036.156897
-100,100,1038.641618
-100,100,1041.106812
-100,100,1043.623376
-100,100,1046.077931
-99.675017,100,1048.563034
-98.822305,100,1051.048102
-95.497731,100,1053.497288
-99.732682,100,1056.031686
-100,100,1058.470185
-100,100,1060.91819
-100,100,1063.37264
-100,100,1065.821482
-99.735908,100,1068.277347
-99.856066,100,1070.795318
-83.153829,100,1073.264497
-99.910663,100,1075.714585
-63.65091,100,1078.184973
-73.754856,100,1080.649487
-100,100,1083.173768
-89.001147,100,1085.758763
-100,100,1088.092936
-99.933808,100,1090.562858
-100,100,1093.012092
-89.844609,100,1095.497809
-100,100,1097.968297
-99.412447,100,1100.385449
-100,100,1102.786693
