EpLenMean,TotalRewardMean,EVAfter,KL,EVBefore,EpRewMean,EpRewSEM
100.0,-491016.00301398564,-744978382420744.4,0.006608198,-1224362829889592.2,-100.0,0.0
100.0,-491110.4589141653,-2153414336085337.2,0.0078104776,-2935129167598859.0,-94.45590017966822,0.0
100.0,-491205.2641690385,-544775209190697.56,0.006401605,-676582069615023.5,-94.80525487318712,0.0
100.0,-491303.627585846,-378245536031096.3,0.004340994,-396870978954700.8,-98.36341680749734,0.0
100.0,-491400.67413156125,-430406276091170.7,0.011342941,-478247881802150.1,-97.0465457152355,0.0
100.0,-491498.1499369923,-811125003537605.0,0.0051991744,-920896838281671.4,-97.4758054310912,0.0
100.0,-491597.2287246131,-260413396397779.6,0.005908019,-541139122545734.7,-99.07878762077647,0.0
100.0,-491696.7112531946,-1306487487072453.5,0.0056731356,-1278266515243203.0,-99.48252858152132,0.0
100.0,-491783.3236081004,-656183706282711.6,0.0035748447,-682915661893206.2,-86.61235490582209,0.0
100.0,-491879.51184225216,-659280399039503.8,0.008740355,-656271940728167.1,-96.18823415173928,0.0
100.0,-491979.51184225216,-187585167408175.72,0.00870202,-319161444788513.2,-100.0,0.0
100.0,-492079.51184225216,-194375921954604.62,0.007837615,-498127396558475.4,-100.0,0.0
100.0,-492179.18730662524,-1279951228305622.5,0.0053262794,-1336245851283197.2,-99.6754643730567,0.0
100.0,-492277.5239000405,-649626232108980.2,0.009826866,-1011191721076998.5,-98.3365934152496,0.0
100.0,-492294.652115704,-223600781442725.56,0.0029869725,-199964693533274.97,-17.12821566356327,0.0
100.0,-492394.652115704,-744475147070291.0,0.00525935,-900490843903733.1,-100.0,0.0
100.0,-492456.0458500829,-753334315946424.5,0.0084980475,-833770756885952.6,-61.39373437886775,0.0
100.0,-492556.0458500829,-794258245801741.8,0.008197341,-1456789380366773.5,-100.0,0.0
100.0,-492648.3401561489,-1640170621849033.2,0.003344662,-1527232779273904.2,-92.29430606600557,0.0
100.0,-492748.1732121675,-334530854305865.5,0.010167713,-497350313043260.9,-99.83305601864805,0.0
100.0,-492843.59008917824,-244502963292150.97,0.003674012,-246667221016739.6,-95.41687701074093,0.0
100.0,-492943.59008917824,-358637208087612.75,0.0058442242,-347729025218488.06,-100.0,0.0
100.0,-493043.59008917824,-757598419318994.6,0.007398025,-597043861311600.0,-100.0,0.0
100.0,-493143.59008917824,-226653683574547.72,0.0045042946,-218010771198639.9,-100.0,0.0
100.0,-493243.50808292755,-2806886383353870.0,0.009327169,-3241353897602466.0,-99.91799374932995,0.0
100.0,-493343.50808292755,-330101376107735.75,0.008359161,-512128419766886.44,-100.0,0.0
